名称,名称2,承载,省份,县市,建成,最大跨,category,序号,longitude,latitude
青康公路通天河大桥,,公路,青海省,"称多县
玉树县",1963,50,拱桥,18,97.24639494,33.00775039
邓玛奴桑巴桥,,公路,"四川省
西藏自治区","石渠县
江达县",1988,150,悬索桥,22,97.99634444,32.46026639
岗托大桥,,公路,"四川省
西藏自治区","德格县
江达县",1974,70,拱桥,24,98.59059678,31.62557528
因都坝大桥,,公路,"四川省
云南省","得荣县
德钦县",2006,90,拱桥,50,99.16641444,28.60608956
伏龙桥,,公路,"四川省
云南省","得荣县
德钦县",1959,108,悬索桥,59,99.38836817,28.17168933
214国道香德公路金沙江大桥,,214国道,"四川省
云南省","得荣县
德钦县",2013,130,拱桥,61,99.39167533,28.16588617
松园大桥,,214国道,云南省,"香格里拉市
玉龙县",1996,170,拱桥,66,100.0714439,27.0049345
继红桥,,公路,云南省,"香格里拉市
玉龙县",1971,75,拱桥,68,100.0552254,27.13141044
"革囊渡大桥
（奉科大桥）",,公路,云南省,"宁蒗县
玉龙县",2013,150,梁式桥,76,100.4435421,27.60418633
阿海大桥,,公路,云南省,"宁蒗县
玉龙县",2009,120,拱桥,77,100.5065978,27.3349545
新树底大桥,,991省道,云南省,"永胜县
丽江市",2010,105,梁式桥,79,100.4377944,27.00635244
金安桥,,308省道,云南省,"永胜县
丽江市",1982,110,拱桥,82,100.4296611,26.79639444
"金龙桥
（梓里江桥）",,步道,云南省,"永胜县
丽江市","1879
1936",92,悬索桥,83,100.3858167,26.78273889
观音岩大桥,,公路,四川省,攀枝花市,2009,114,拱桥,95,101.4469722,26.53139444
观音岩引水工程观音岩管桥,,供水管道,四川省,攀枝花市,2017,108,拱桥,96,101.4547611,26.53726111
丽攀高速公路庄上大桥,,蓉丽高速,四川省,攀枝花市,2014,180,梁式桥,97,101.4980278,26.59245
"宝鼎大桥
（陶家渡大桥）",,"陶家渡西路
传送带",四川省,攀枝花市,1982,170,拱桥,99,101.5708667,26.59673333
观音岩引水工程陶家渡管桥,,供水管道,四川省,攀枝花市,2019,140,拱桥,100,101.5769622,26.59640444
法拉大桥,,"陶家渡东路
陶家渡中路",四川省,攀枝花市,2005,190,拱桥,101,101.6002389,26.5875
丽攀高速公路大水井大桥,,蓉丽高速,四川省,攀枝花市,2014,230,梁式桥,102,101.61995,26.59028889
新庄大桥,,"310省道
苏铁东路",四川省,攀枝花市,1972,146,拱桥,106,101.6544722,26.58552778
观音岩引水工程503管桥,,供水管道,四川省,攀枝花市,2018,150,拱桥,107,101.65755,26.58605556
"攀钢冷轧厂专用线
金沙江大桥",,攀钢冷轧厂专用铁路,四川省,攀枝花市,1995,168,梁式桥,108,101.6613444,26.57365556
观音岩引水工程荷花池管桥,,供水管道,四川省,攀枝花市,2019,130,拱桥,109,101.6611646,26.57195072
荷花池大桥,,钢城大道西段,四川省,攀枝花市,1976,110,拱桥,110,101.66255,26.56855556
渡口大桥,,310省道,四川省,攀枝花市,"1966
2005",180,拱桥,111,101.6967333,26.55745
渡口吊桥,,市政煤气管道,四川省,攀枝花市,1965,180,悬索桥,112,101.6980278,26.56336667
炳草岗大桥,,弄弄坪东路,四川省,攀枝花市,2001,200,,113,101.7039444,26.57557778
密地大桥,,"公路
攀钢尾矿管道",四川省,攀枝花市,"1969
2014",181,拱桥,116,101.7494222,26.57605556
新密地大桥,,"公路
攀钢尾矿管道",四川省,攀枝花市,"2011
2013",182,拱桥,117,101.7497111,26.57586667
倮果大桥,,214省道,四川省,攀枝花市,"1995
(2013)",160,拱桥,120,101.7886056,26.60115556
"丽攀高速公路青龙山大桥
（丽攀高速公路倮果大桥）",,蓉丽高速,四川省,攀枝花市,2014,230,梁式桥,121,101.79495,26.60418333
成昆铁路金沙江大桥,,成昆铁路,四川省,"盐边县
攀枝花市",1970,192,梁式桥,123,101.8363944,26.58139444
三堆子大桥,,公路,四川省,"盐边县
攀枝花市",2019,200,梁式桥,124,101.84245,26.57860556
西攀高速公路金沙江大桥,,京昆高速,四川省,"盐边县
攀枝花市",2008,324,斜拉桥,125,101.8519722,26.57273889
鱼鲊大桥,,108国道,四川省,"会理县
攀枝花市",2015,180,梁式桥,127,101.9267333,26.36831667
皎平渡大桥,,213省道,"四川省
云南省","会理县
禄劝县",1991,144,斜拉桥,130,102.3830278,26.29278889
河门口大桥,,公路,"四川省
云南省","会东县
禄劝县",2019,240,梁式桥,132,102.5971611,26.35197222
金东大桥,,公路,"四川省
云南省","会东县
昆明市",2018,730,悬索桥,135,103.0405778,26.50995
葫芦口大桥,,"212省道
 310省道
 303省道","四川省
云南省","宁南县
巧家县",1998,160,拱桥,136,102.89005,26.96447222
冯家坪桥,,464省道,"四川省
云南省","布拖县
巧家县",2018,280,拱桥,143,102.8983917,27.32139444
对坪桥,,公路,"四川省
云南省","金阳县
巧家县",2018,280,拱桥,145,103.0988294,27.40054778
桧溪金沙江大桥,,公路,"四川省
云南省","雷波县
永善县",2006,158,梁式桥,152,103.87503,28.31724111
南岸金沙江大桥,,213国道,"四川省
云南省","屏山县
绥江县",2001,150,拱桥,153,103.86995,28.65966111
云川金沙江大桥,,公路,"四川省
云南省","屏山县
绥江县",2015,228,梁式桥,155,103.9897611,28.615
宜水高速公路金沙江大桥,,银昆高速,四川省,宜宾市,2006,249,梁式桥,158,104.5233167,28.68884444
马鸣溪大桥,,206省道,四川省,宜宾市,1979,150,拱桥,160,104.5563944,28.70115556
中坝大桥,,公路,四川省,宜宾市,2003,252,斜拉桥,163,104.6108667,28.75586667
宜宾金沙江铁路大桥,,宜珙铁路,四川省,宜宾市,1968,176,梁式桥,164,104.6171611,28.75923333
南门大桥,,公路,四川省,宜宾市,"1990
(2002)",240,拱桥,165,104.62495,28.76384444
戎州大桥,,公路,四川省,宜宾市,2004,260,拱桥,166,104.6286056,28.76673333
宜宾长江大桥,宜宾长江大桥,307省道,四川省,宜宾市,2008,931.31,斜拉桥,167,104.652815,28.75976
南溪长江大桥,南溪长江大桥,成渝环线高速,四川省,宜宾市,2012,"1,295.59",悬索桥,170,105.089767,28.728611
隆纳高速长江大桥,隆纳高速长江大桥,厦蓉高速,四川省,泸州市,2000,"1,408",梁式桥,174,105.444485,28.865561
泸州长江铁路大桥,泸州长江铁路大桥,隆黄铁路,四川省,泸州市,2004,"1,445",梁式桥,176,105.474305,28.533509
永川长江大桥,永川长江大桥,重庆三环高速,重庆市,"永川区
江津区",2014,"1,895.8",斜拉桥,192,105.887295,29.040637
江津长江大桥,江津长江大桥,107省道,重庆市,江津区,1997,"1,360",梁式桥,195,105.887295,29.040637
几江长江大桥,几江长江大桥,六车道公路,重庆市,江津区,2016,"1,738",悬索桥,196,106.261201,29.293813
外环江津长江大桥,外环江津长江大桥,"成渝环线高速
 重庆绕城高速",重庆市,"九龙坡区
江津区",2009,"1,172",斜拉桥,199,106.282449,29.350653
地维长江大桥,地维长江大桥,两车道公路,重庆市,"大渡口区
江津区",2004,734.8,斜拉桥,201,106.408594,29.341714
白沙沱长江大桥,白沙沱长江大桥,川黔铁路,重庆市,"大渡口区
江津区",1959,820,桁架桥,202,106.500489,29.398316
新白沙沱长江大桥,新白沙沱长江大桥,渝贵铁路、渝长客运专线、兴珞铁路,重庆市,"大渡口区
江津区",2018,"5,320",,203,106.500489,29.398316
鱼洞长江大桥,鱼洞长江大桥,"210国道
 重庆轨道交通2号线",重庆市,"大渡口区
巴南区",2008,"1,541.6",梁式桥,205,106.500489,29.398316
马桑溪长江大桥,马桑溪长江大桥,兰海高速,重庆市,"大渡口区
巴南区",2001,"1,104.23",斜拉桥,207,106.500489,29.398316
菜园坝长江大桥,菜园坝长江大桥,"六车道公路
 重庆轨道交通3号线",重庆市,"渝中区
南岸区",2007,"1,866",拱桥,213,106.551409,29.540906
石板坡长江大桥复线桥,石板坡长江大桥复线桥,四车道公路,重庆市,"渝中区
南岸区",2006,"1,103.5",梁式桥,214,106.563494,29.543043
石板坡长江大桥,石板坡长江大桥,四车道公路,重庆市,"渝中区
南岸区",1980,"1,121",梁式桥,215,106.563494,29.543043
东水门长江大桥,东水门长江大桥,"四车道公路
 重庆轨道交通6号线",重庆市,"渝中区
南岸区",2014,967,,218,106.563494,29.543043
朝天门长江大桥,朝天门长江大桥,"六车道公路
 重庆轨道交通环线",重庆市,"江北区
南岸区",2009,"4,881",,219,106.580494,29.585501
大佛寺长江大桥,大佛寺长江大桥,包茂高速,重庆市,"江北区
南岸区",2001,"1,168",斜拉桥,220,106.585253,29.604068
广阳岛大桥,广阳岛大桥,公路,重庆市,"江北区
南岸区",2007,"1,129.22",梁式桥,224,106.688593,29.555382
新广阳岛大桥,新广阳岛大桥,公路,重庆市,"江北区
南岸区",2018,"1,010",斜拉桥,225,106.688593,29.555382
长寿长江大桥,长寿长江大桥,103省道,重庆市,长寿区,2009,"1,146",斜拉桥,236,107.060276,29.813716
青草背长江大桥,青草背长江大桥,重庆三环高速,重庆市,涪陵区,2013,"1,652",悬索桥,238,107.351585,29.734048
李渡长江大桥,李渡长江大桥,四车道公路,重庆市,涪陵区,2009,822,斜拉桥,239,107.298313,29.724573
涪陵长江大桥,涪陵长江大桥,"319国道
 303省道",重庆市,涪陵区,1997,631,斜拉桥,240,107.351585,29.734048
石板沟长江大桥,石板沟长江大桥,四车道公路,重庆市,涪陵区,2007,"1,307",斜拉桥,241,107.410581,29.728431
韩家沱长江大桥,韩家沱长江大桥,渝利铁路,重庆市,涪陵区,2011,"1,137.5",,243,107.351585,29.734048
丰都长江大桥,丰都长江大桥,"103省道
 203省道",重庆市,丰都县,1997,620,悬索桥,244,107.674744,29.852824
丰都长江二桥,丰都长江二桥,四车道公路,重庆市,丰都县,2017,"2,234",斜拉桥,245,107.711384,29.866334
忠州长江大桥,忠州长江大桥,沪渝高速,重庆市,忠县,2009,"2,145.2",斜拉桥,246,108.01197,30.230465
忠县长江大桥,忠县长江大桥,302省道,重庆市,忠县,2001,"1,200",悬索桥,247,108.053749,30.299426
万州长江大桥,万州长江大桥,318国道,重庆市,万州区,1997,856,拱桥,250,108.429812,30.761926
万州长江三桥,万州长江三桥,六车道公路,重庆市,万州区,2018,"2,200",斜拉桥,252,108.242786,30.449296
万州长江二桥,万州长江二桥,四车道公路,重庆市,万州区,2004,"1,194",悬索桥,253,108.409358,30.824053
驸马长江大桥,驸马长江大桥,恩广高速,重庆市,万州区,2017,"2,003",悬索桥,254,108.473227,30.832641
云阳长江大桥,云阳长江大桥,305省道,重庆市,云阳县,2005,637,斜拉桥,255,108.715649,30.912112
巫山长江大桥,巫山长江大桥,301省道,重庆市,巫山县,2005,612.2,拱桥,257,109.906469,31.061415
巴东长江大桥,巴东长江大桥,209国道,湖北省,巴东县,2004,908,斜拉桥,258,110.333124,31.047397
西陵长江大桥,西陵长江大桥,四车道公路,湖北省,宜昌市,1996,"1,118.66",悬索桥,260,110.68793,30.90645
至喜长江大桥,主桥,六车道公路,湖北省,宜昌市,2016,"3,234.7",悬索桥,262,111.267688,30.713344
至喜长江大桥,三江桥,六车道公路,湖北省,宜昌市,2016,"3,234.7",斜拉桥,263,111.267688,30.713344
夷陵长江大桥,夷陵长江大桥,323省道,湖北省,宜昌市,2001,"3,246",斜拉桥,264,111.306462,30.682967
宜昌长江公路大桥,宜昌长江公路大桥,"双尹高速
 沪渝高速",湖北省,宜昌市,2001,"1,188.3",悬索桥,267,111.391782,30.566381
枝城长江大桥,枝城长江大桥,225省道,湖北省,宜都市,1971,"1,745",桁架桥,270,111.527248,30.280664
枝城长江大桥,枝城长江大桥,焦柳铁路,湖北省,宜都市,1971,"1,742",桁架桥,271,111.527248,30.280664
荆州长江大桥,北汊桥,"二广高速
 207国道",湖北省,荆州市,2002,"4,397.5",斜拉桥,274,112.224546,30.339117
荆州长江大桥,南汊桥,"二广高速
 207国道",湖北省,荆州市,2002,"4,397.5",斜拉桥,275,112.224546,30.339117
荆州长江公铁大桥,荆州长江公铁大桥,"沙公高速
 浩吉铁路",湖北省,"江陵县
公安县",2019,"6,317.672",斜拉桥,276,112.33237,30.065684
石首长江大桥,石首长江大桥,唐石高速,湖北省,石首市,2019,"2,670",斜拉桥,277,112.497669,29.778379
嘉鱼长江大桥,嘉鱼长江大桥,蕲嘉高速,湖北省,"洪湖市
嘉鱼县",2019,"4,690",斜拉桥,280,113.972524,30.049998
军山长江大桥,军山长江大桥,"京港澳高速
 沪渝高速
 武汉绕城高速",湖北省,武汉市,2001,"2,847",斜拉桥,281,114.292862,30.546994
沌口长江大桥,沌口长江大桥,武汉四环线,湖北省,武汉市,2017,"5,296",斜拉桥,282,114.345192,30.626944
白沙洲长江大桥,白沙洲长江大桥,武汉三环线,湖北省,武汉市,2000,"3,586.38",斜拉桥,283,114.292862,30.546994
杨泗港长江大桥,杨泗港长江大桥,"上层：六车道公路
下层：六车道公路",湖北省,武汉市,2019,"4,317.8",悬索桥,284,114.292862,30.546994
鹦鹉洲长江大桥,鹦鹉洲长江大桥,武汉二环线,湖北省,武汉市,2014,"3,420",悬索桥,285,114.225932,30.552993
武汉地铁4号线过江隧道,武汉地铁4号线过江隧道,武汉地铁4号线,湖北省,武汉市,2014,"3,003",隧道,286,114.321847,30.571057
武汉长江大桥,武汉长江大桥,"107国道
 316国道
武汉内环线
 京广铁路",湖北省,武汉市,1957,"1,670",桁架桥,287,114.288626,30.549505
武汉地铁2号线过江隧道,武汉地铁2号线过江隧道,武汉地铁2号线,湖北省,武汉市,2012,"3,098",隧道,288,114.297918,30.583136
武汉长江隧道,武汉长江隧道,四车道公路,湖北省,武汉市,2008,"3,630",隧道,289,114.321847,30.571057
武汉地铁8号线过江隧道,武汉地铁8号线过江隧道,武汉地铁8号线,湖北省,武汉市,2017,"3,186",隧道,291,114.321847,30.571057
武汉长江二桥,武汉长江二桥,武汉内环线,湖北省,武汉市,1995,"3,971.4",斜拉桥,292,114.325092,30.603008
二七长江大桥,二七长江大桥,武汉二环线,湖北省,武汉市,2011,"6,507",斜拉桥,294,114.366409,30.609211
天兴洲长江大桥,天兴洲长江大桥,"武汉三环线
 京广高速铁路、滠武铁路",湖北省,武汉市,2009,"4,657",,296,114.337553,30.632176
青山长江大桥,北汊桥,武汉四环线,湖北省,武汉市,2019,"5,914",梁式桥,297,114.345192,30.626944
青山长江大桥,南汊桥,武汉四环线,湖北省,武汉市,2019,"5,914",斜拉桥,298,114.345192,30.626944
黄冈长江大桥,黄冈长江大桥,"孝应高速
 武黄城际铁路",湖北省,"黄冈市
鄂州市",2014,"4,008.2",,302,116.017798,29.749334
鄂黄长江大桥,鄂黄长江大桥,106国道,湖北省,"黄冈市
鄂州市",2002,"3,245",斜拉桥,303,114.924011,30.40898
黄石长江大桥,黄石长江大桥,201省道,湖北省,"黄石市
浠水县",1995,"2,580",梁式桥,305,115.083327,30.213199
九江长江大桥,九江长江大桥,105国道,"湖北省
江西省","黄梅县
九江市",1993,"4,460",,310,116.018002,29.730608
九江长江大桥,九江长江大桥,京九铁路,"湖北省
江西省","黄梅县
九江市",1993,"7,675",,311,116.018002,29.730608
望东长江大桥,望东长江大桥,济广高速,安徽省,"望江县
东至县",2016,"4,035",斜拉桥,312,116.795744,30.097307
安庆长江铁路大桥,安庆长江铁路大桥,宁安城际铁路,安徽省,"安庆市
池州市",2015,"2,996.8",,315,116.507351,30.217097
铜陵长江大桥,铜陵长江大桥,"京台高速
 103省道",安徽省,铜陵市,1995,"2,592",斜拉桥,318,117.732611,30.854341
铜陵长江公铁大桥,铜陵长江公铁大桥,"宣铜高速
 合福高速铁路、庐铜铁路",安徽省,"无为县
铜陵县",2015,"16,719",,319,117.97369,31.082795
芜湖长江二桥,芜湖长江二桥,巢黄高速,安徽省,"无为县
繁昌县",2017,"13,975",斜拉桥,320,118.133087,31.234911
芜湖长江大桥,芜湖长江大桥,芜合高速,安徽省,"无为县
芜湖市",2000,"5,681",,323,118.341074,31.385737
芜湖长江大桥,芜湖长江大桥,淮南铁路,安徽省,"无为县
芜湖市",2000,"10,521",,324,118.341074,31.385737
马鞍山长江大桥,左汊桥,常合高速,安徽省,"和县
当涂县",2013,"10,900",悬索桥,327,118.50741,31.615933
马鞍山长江大桥,右汊桥,常合高速,安徽省,"当涂县
马鞍山市",2013,"10,900",斜拉桥,328,118.50741,31.615933
大胜关长江大桥,大胜关长江大桥,"京沪高速铁路、宁蓉铁路
 南京地铁S3号线",江苏省,南京市,2009,"9,270",,329,118.74253,32.114102
南京长江第三大桥,南京长江第三大桥,"沪蓉高速
 南京绕城高速",江苏省,南京市,2005,"4,788",斜拉桥,330,118.644795,31.969112
南京地铁10号线过江隧道,南京地铁10号线过江隧道,南京地铁10号线,江苏省,南京市,2014,"3,345",隧道,334,118.668579,32.057344
夹江大桥,夹江大桥,六车道公路,江苏省,南京市,2010,665.5,悬索桥,335,118.705192,32.033867
南京长江隧道,南京长江隧道,六车道公路,江苏省,南京市,2009,"3,825",隧道,336,118.702979,32.035677
南京扬子江隧道,南京扬子江隧道,八车道公路,江苏省,南京市,2016,"7,368",隧道,337,118.704989,31.991678
南京长江大桥,南京长江大桥,104国道,江苏省,南京市,1968,"4,588",桁架桥,339,118.75571,32.09478
南京长江大桥,南京长江大桥,京沪铁路,江苏省,南京市,1968,"6,772",桁架桥,340,118.75571,32.09478
南京地铁3号线过江隧道,南京地铁3号线过江隧道,南京地铁3号线,江苏省,南京市,2015,"3,100",隧道,342,118.668579,32.057344
南京长江第二大桥,北汊桥,宁洛高速,江苏省,南京市,2001,"2,172",梁式桥,346,118.844147,32.155628
南京长江第二大桥,南汊桥,宁洛高速,江苏省,南京市,2001,"2,938",斜拉桥,347,118.844147,32.155628
南京长江第四大桥,南京长江第四大桥,南京绕城高速,江苏省,南京市,2012,"5,448",悬索桥,350,118.945241,32.174726
润扬长江大桥,北汊桥,扬溧高速,江苏省,"扬州市
镇江市",2005,"7,210",斜拉桥,352,119.371566,32.199377
润扬长江大桥,南汊桥,扬溧高速,江苏省,镇江市,2005,"7,210",悬索桥,353,119.371566,32.199377
扬中长江三桥,扬中长江三桥,238省道,江苏省,"扬中市
镇江市",2014,"2,235",梁式桥,357,119.779566,32.207262
泰州长江大桥,主桥,泰镇高速,江苏省,"泰州市
扬中市",2012,"9,726",悬索桥,358,119.892535,32.247132
泰州长江大桥,夹江桥,泰镇高速,江苏省,"扬中市
镇江市",2012,"9,726",梁式桥,359,119.892535,32.247132
长青沙大桥,长青沙大桥,207县道,江苏省,如皋市,2001,608.28,梁式桥,369,120.596854,32.0693
华沙大桥,华沙大桥,海五公路,江苏省,南通市,2003,"1,580",梁式桥,371,120.651082,32.055393
东沙大桥,东沙大桥,六车道公路,江苏省,南通市,2014,"1,838.8",斜拉桥,372,120.678207,32.051295
沪通长江大桥,沪通长江大桥,"通锡高速
 沪通铁路、通苏嘉城际铁路",江苏省,"南通市
张家港市",2019,"5,838",斜拉桥,373,120.721551,32.04152
上海长江隧道,上海长江隧道,"沪陕高速
预留  上海轨道交通19号线",上海市,"长兴岛
浦东新区",2009,"8,950",隧道,375,121.513959,31.35915
上海长江大桥,上海长江大桥,"沪陕高速
预留  上海轨道交通19号线",上海市,"崇明岛
长兴岛",2009,"9,970",斜拉桥,376,121.752051,31.436518
崇启大桥,崇启大桥,沪陕高速,上海市,崇明岛,2011,"7,150",梁式桥,377,121.656582,31.662725
崇启大桥,崇启大桥,沪陕高速,江苏省,启东市,2011,"7,150",梁式桥,378,121.656582,31.662725
